instruction,answer
以有个仙人骑白鹤为出句，续写绝句,曾随王母到瀛洲。于今鹤去仙人远，天际白云空自浮。
请仿写李贺的诗,一夕绕山秋，香露溘蒙菉。新桥倚云阪，候虫嘶露朴。洛南今已远，越衾谁为熟。石气何凄凄，老莎如短镞。
请仿写李白的诗,朱亥已击晋，侯嬴尚隐身。时无魏公子，岂贵抱关人。余亦不火食，游梁同在陈。空馀湛卢剑，赠尔托交亲。
续写绝句，箭漏日初短,汀烟草未衰。雨馀虽更绿，不是采蘋时。
续写律诗，往年公子宅,夜宴乐难忘。高竹动疏翠，早莲飘暗香。珠盘凝宝瑟，绮席遰华觞。今日皆何处，闭门春草长。
续写律诗，舟子相呼起,长江未五更。几看星月在，犹带梦魂行。鸟乱村林迥，人喧水栅横。苍茫平野外，渐认远峰名。
以怀人为主题，写一首诗,相思楚天外，梦寐楚猿吟。更落淮南叶，难为江上心。衡阳问人远，湘水向君深。欲逐孤帆去，茫茫何处寻。
以山水为主题，写一首诗,年大飘零馘已黄，野麋难复厕鸳行。山名一径通天目，便欲看云老是乡。
续写律诗，置却人间事,闲从野老游。树声村店晚，草色古城秋。独鸟飞天外，闲云度陇头。姓名君莫问，山木与虚舟。
以思乡为主题，写一首律诗,长日燕台正忆家，故人新惠故园茶。茸分玉碾闻兰气，火煖金铛见雪花。漫道玉川阳羡蕊，还如鸿渐建溪芽。泠然一啜烦襟涤，欲御天风弄紫霞。
以每忆云山养短才为出句，续写绝句,悔缘名利入尘埃。十年马足行多少，两度天涯地角来。
请仿写杜牧的诗,长空碧杳杳，万古一飞鸟。生前酒伴闲，愁醉闲多少。烟深隋家寺，殷叶暗相照。独佩一壶游，秋毫泰山小。
请仿写刘禹锡的诗,久学文章含白凤，却因政事赐金鱼。郡人未识闻谣咏，天子知名与诏书。珍重贺诗呈锦绣，愿言归计并园庐。旧来词客多无位，金紫同游谁得如。
以近来参谒陡生疏为出句，续写律诗,因向云山僻处居。出为羁孤营粝食，归同弟侄读生书。风凋古木秋阴薄，月满寒山夜景虚。但得中兴知己在，算应身未老樵渔。
以怀人为主题，写一首律诗,京邸驰书问友朋，老人离索想难胜。德星称瑞宁常聚，尺蠖求伸竟后兴。新雨挑灯虚五夜，故山回首隔千层。遥遥幸有知音在，尚拟携琴受广陵。
以寒食寻芳游不足为出句，续写绝句,溪亭还醉绿杨烟。谁家花落临流树，数片残红到槛前。
以忽地晴天作雨天为出句，续写律诗,全无暑气似秋间。看看水没来时路，渐渐云藏望处山。风趁鹭鸶双出苇，浪催渔父尽归湾。一心准拟闲登眺，却被诗情使不闲。
以失意为主题，写一首诗,神游久到祝融西，高插层云汉与齐。缥缈望穷双眼豁，参差罗列万峰低。登临几费骚人屐，点缀惟凭彩笔题。马足又从尘路去，胜情未得遂攀跻。
写一首战争诗,秋尽天山道几盘，萧萧韎韐塞霜寒。材官似雪分行出，胡女如花隘路看。白鼻騧前因舞袖，青油幕底拜呼韩。知君解得从军乐，不畏沙场行路难。
续写律诗，玉人垂玉鞭,百骑带櫜鞬。从赏野邮静，献新秋果鲜。塞屯丰雨雪，虏帐失山川。遥想称觞后，唯当共被眠。
续写绝句，輶车骆马往从谁,梦浦兰台日更迟。欲识桃花最多处，前程问取武陵儿。
请仿写李白的诗,大鹏一日同风起，抟摇直上九万里。假令风歇时下来，犹能簸却沧溟水。世人见我恒殊调，闻余大言皆冷笑。宣父犹能畏后生，丈夫未可轻年少。
请仿写王维的诗,久践中台座，终登上将坛。谁言断车骑，空忆盛衣冠。风日咸阳惨，笳箫渭水寒。无人当便阙，应罢太师官。
写一首怀人诗，律诗,泽畔相思梦卜居，故人兄弟近何如。天边黄叶新供眺，屋里青山好著书。江口月明猿啸夜，荆门霜落蟹肥初。再来剡曲堪乘兴，畏尔淹留逼岁除。
请仿写白居易的诗,雨暗三秋日，泥深一尺时。老人平旦出，自问欲何之。不是寻医药，非干送别离。素书传好语，绛帐赴佳期。续借桃花马，催迎杨柳姬。只愁张录事，罚我怪来迟。
以哀伤为主题，写一首诗,此身到处贾胡留，细雨斜风冷淡秋。佳节又从愁里过，故乡不似旧时游。试拈红叶题诗句，强摘黄花泛酒瓯。落帽龙山几人在，云沉鸟没恨悠悠。
写一首哀伤诗,野色浮千树，池光鉴一峰。高标人外秀，新绿雨边浓。此地颇安堵，他乡时举烽。楼头数杯酒，伫立到昏钟。
以未得忘身法为出句，续写律诗,此身终未安。病肠犹可洗，瘦骨不禁寒。药少心情饵，经无气力看。悠悠片云质，独对夕阳残。
创作一首山水诗，律诗,暂息尘踪泯世缘，且留金地礼金仙。三生石湿垂萝雨，百衲衣薰煮茗烟。猛虎跑泉松户外，驯猿投果石龛前。春深绝顶人稀到，花落闲窗僧自禅。
创作一首思乡诗,发白双亲尚在堂，娇孙习字列肩行。抱书问母缘何哭，道是余魂归故乡。
创作一首思乡诗，律诗,野店星河在，行人道路长。孤灯怜宿处，斜月厌新装。草色多寒露，虫声似故乡。清秋无限恨，残菊过重阳。
以谁识在官意为出句，续写律诗,开门树色间。寻幽频宿寺，乞假拟归山。半白侵吟鬓，微红见药颜。不知琴月夜，几客得同闲。
请仿写杜甫的诗,天畔群山孤草亭，江中风浪雨冥冥。一双白鱼不受钓，三寸黄甘犹自青。多病马卿无日起，穷途阮籍几时醒。未闻细柳散金甲，肠断秦川流浊泾。
以玉洞幽寻更是天为出句，续写律诗,朱霞绿景镇韶年。飞花藉藉迷行路，啭鸟遥遥作管弦。雾隐长林成翠幄，风吹细雨即虹泉。此中碧酒恒参圣，浪道昆山别有仙。
创作一首哀伤诗,请缨犹未斩楼兰，始信从军行路难。骄子秋高肥马肃，征人霜重铁衣寒。梦魂报国三更愤，怀抱思乡午漏残。遥忆鳌洲烟月处，几时归弄钓鱼竿。
以抱朴澄神蕴道光为出句，续写律诗,石炉閒爇六时香。曳空横野云和静，逗石穿崖水自忙。晚圃雨来葵叶嫩，晴坡烧后蕨苗长。一心包尽乾坤内，莫把閒文更度量。
以怀古为主题，写一首诗,京洛烟尘弃不收，西湖台阁作金瓯。流连秋色还春色，歌咏杭州胜汴州。自愿苟安增币帛，谁抒孤愤报仇雠。栖霞岭畔将军墓，只有南枝记旧丘。
以闺怨为主题，写一首诗,人世悲欢不可知，夫君初破黑山归。如今又献征南策，早晚催缝带号衣。
以幽院才容个小庭为出句，续写绝句,疏篁低短不堪情。春来犹赖邻僧树，时引流莺送好声。
写一首思乡诗，绝句,万里风埃两鬓霜，十年京国困名场。何如老弟抛书卷，捕蟹叉鱼住故乡。
续写绝句，行过险栈出褒斜,出尽平川似到家。万里客愁今日散，马前初见米囊花。
创作一首思乡诗,游子悲乡国，孤舟傍岸洄。机心能自信，沙鸟不须猜。夜静滩声落，江空月色来。钓龙竿尚在，重上越王台。
续写律诗，池上青莲宇,林间白马泉。故人成异物，过客独潸然。既礼新松塔，还寻旧石筵。平生竹如意，犹挂草堂前。
以愤怒为主题，写一首诗,杀气沉荆渚，军声动岳阳。虎争一阱食，乌啄万家疮。凄厉家家月，狞寒叶叶霜。夔门故乡水，波恶畏瞿唐。
以思乡为主题，写一首绝句,侬是剑南人，惯识故乡好。绿叶接红花，辉映绥安道。
续写律诗，玉辇下离宫,琼楼上半空。方巡五年狩，更辟四门聪。井邑观秦野，山河念禹功。停銮留睿作，轩槛起南风。
创作一首思乡#怀人诗，律诗,一别无多日，兰花今已开。欲持杯酒共，不见故人来。虞麓悲游子，河汾想异才。馆餐当旧雨，心迹两无猜。
创作一首悼亡诗，律诗,结友儿童岁，对门兄弟辞。存亡殊不意，晚暮可胜悲。宰木归吴远，輀车出剑迟。善人鲜百福，神理傥吾欺。
续写绝句，浅绛浓香几朵匀,日镕金铸万家新。堪疑刘宠遗芳在，不许山阴父老贫。
请仿写李白的诗,闻道春还未相识，走傍寒梅访消息。昨夜东风入武阳，陌头杨柳黄金色。碧水浩浩云茫茫，美人不来空断肠。预拂青山一片石，与君连日醉壶觞。
请仿写王维的诗,涂刍去国门，秘器出东园。太守留金印，夫人罢锦轩。旌旗转衰木，箫鼓上寒原。坟树应西靡，长思魏阙恩。
请仿写杜甫的诗,设道春来好，狂风大放颠。吹花随水去，翻却钓鱼船。
续写律诗，边庭汉仪重,旌甲似云中。虏地山川壮，单于鼓角雄。关寒塞榆落，月白胡天风。君逐嫖姚将，麒麟有战功。
创作一首思乡诗,万里故乡隔，扁舟何日还。黄云蓟北路，白雪辽西山。马倦客投店，鸡鸣人出关。吾思石桥隐，绝顶尚容攀。
以愁绪为主题，写一首律诗,故国愁心对落晖，漏声忽报岁华归。寒梅残梦随江月，古道征尘上客衣。北极遥连双阙迥，南山回望片云飞。高堂此日嗟游子，清夜犹怜独倚扉。
续写律诗，桃文称辟恶,桑质表初生。宛转雕鞬际，依稀半月明。遥弯落雁影，虚引怯猿声。徒切乌号思，攀龙遂不成。
以思乡为主题，写一首诗,今日相逢落叶前，故园归去又新年。高歌取醉欲自慰，系马高楼垂柳边。
续写律诗，妙迹蔡侯施,芳名左伯驰。云飞锦绮落，花发缥红披。舒卷随幽显，廉方合轨仪。莫惊反掌字，当取葛洪规。
以哀伤为主题，写一首律诗,君整南归棹，予随北上船。他乡一相见，故里色依然。只觉还家好，都忘失意怜。平安仗传语，早晚下江天。
创作一首思乡诗,带月飘晨寺，和鸡动晓城。衣冠催共起，车马警孤征。忽破林峦静，殊添枕簟清。他乡有愁客，应自泪残声。
以想家为主题，写一首诗,平城司马诏初颁，万里南天引旆还。星使蚤辞牛斗郡，云州高入雁门关。王程供帐三春后，客路沧波一棹间。徒寄相思当饮軷，虔阳花树望中斑。
请仿写杜甫的诗,减米散同舟，路难恩共济。向来云涛盘，众力亦不细。呀坑瞥眼过，飞橹本无蒂。得失瞬息间，致远宜恐泥。百虑视安危，分明曩贤计。兹理庶可广，拳拳期勿替。
续写律诗，才入新秋百感生,就中蝉噪最堪惊。能催时节凋双鬓，愁到江山听一声。不傍管弦拘醉态，偏依杨柳挠离情。故园闻处犹惆怅，况是经年万里行。
续写律诗，忆昔西河县下时,青山憔悴宦名卑。揄扬陶令缘求酒，结托萧娘只在诗。朱紫衣裳浮世重，苍黄岁序长年悲。白头后会知何日，一盏烦君不用辞。
请仿写白居易的诗,江海漂漂共旅游，一尊相劝散穷愁。夜深醒后愁还在，雨滴梧桐山馆秋。
续写律诗，寒食时看度,春游事已违。风光连日直，阴雨半朝归。不见红毬上，那论綵索飞。惟将新赐火，向曙著朝衣。
续写绝句，倾酒向涟漪,乘流东去时。寸心同尺璧，投此报冯夷。
以空王百法学未得为出句，续写绝句,姹女丹砂烧即飞。事事无成身老也，醉乡不去欲何归。
续写律诗，枯木岩前差路多,行人到此尽蹉跎。鹭鸶立雪非同色，明月芦华不似他。了了了时无所了，玄玄玄处亦须呵。殷勤为唱玄中曲，空里蟾光撮得么。
续写律诗，湖山翠欲结蒙笼,汗漫谁游夕照中。初语燕雏知社日，习飞鹰隼识秋风。波摇珠树千寻拔，山凿金陵万仞空。不欲登楼更怀古，斜阳江上正飞鸿。
以行年四十五为出句，续写律诗,两鬓半苍苍。清瘦诗成癖，粗豪酒放狂。老来尤委命，安处即为乡。或拟庐山下，来春结草堂。
以镂楣消落濯春雨为出句，续写律诗,苍翠无言空断崖。草碧未能忘帝女，燕轻犹自识宫钗。江山祗有愁容在，剑佩应和愧色埋。赖在伍员骚思少，吴王才免似荆怀。
以咏物为主题，写一首绝句,斗绝孤厓倚碧空，秋深烟雨寄芳丛。林坰寂寞谁相问，千载心期栗里翁。
以茅屋临江起为出句，续写律诗,登庸复应期。遥知归去日，自致太平时。幽药禅僧护，高窗宿鸟窥。行人尽歌咏，唯子独能诗。
以思乡为主题，写一首诗,故园荷屋傍濂溪，苦爱莲花入梦思。今日题诗还自笑，江湖尘土鬓成丝。
以怀人为主题，写一首诗,带雪抽来犊角长，筠筐封惠自潇湘。锦绷乍剥棱棱瘦，玉板轻批片片香。孝子不劳林下觅，老亲深喜客中尝。明年此际应仍有，还肯相思寄远方。
续写律诗，白玉仙台古,丹丘别望遥。山川乱云日，楼榭入烟霄。鹤舞千年树，虹飞百尺桥。还疑赤松子，天路坐相邀。
请仿写刘禹锡的诗,贾生明王道，卫绾工车戏。同遇汉文时，何人居贵位。
以醉伴腾腾白与刘为出句，续写律诗,何朝何夕不同游。留连灯下明犹饮，断送尊前倒即休。催老莫嫌孙稚长，加年须喜鬓毛秋。教他伯道争存活，无子无孙亦白头。
以思乡为主题，写一首律诗,身老心无事，何曾恋故乡。风烟拟画卷，冰雪满诗囊。魂梦江湖阔，语言兰蕙香。城中虽久住，多只到僧房。
创作一首悼亡诗，律诗,河阳桃李树，惆怅不逢春。官为吟诗折，家因好客贫。故山归去远，遗像挂来真。谁向江头哭，共乡三数人。
写一首怀人诗，律诗,万里锦官城，经年托友生。笑谈元不数，心迹故难并。别酒梅花粲，追途江月明。书来犹缱绻，三叹故人情。
请仿写刘禹锡的诗,织女分明银汉秋，桂枝梧叶共飕飗。月露满庭人寂寂，霓裳一曲在高楼。
写一首愁绪诗，律诗,京华望不极，晓起戒行程。马怯霜桥路，鸡残月店声。晨光催断角，暝色破孤城。此际栖栖者，思乡无限情。
请仿写杜甫的诗,老去悲秋强自宽，兴来今日尽君欢。羞将短发还吹帽，笑倩旁人为正冠。蓝水远从千涧落，玉山高并两峰寒。明年此会知谁健，醉把茱萸子细看。
请仿写杜甫的诗,汉光得天下，祚永固有开。岂惟高祖圣，功自萧曹来。经纶中兴业，何代无长才。吾慕寇邓勋，济时信良哉。耿贾亦宗臣，羽翼共裴回。休运终四百，图画在云台。
创作一首失意诗，律诗,春事又无几，阴晴苦不齐。久贫交味薄，多病语声低。落絮行风径，归云度晚溪。故乡二千里，日夜子规啼。
续写绝句，黯黯严城罢鼓鼙,数声相续出寒栖。不嫌惊破纱窗梦，却恐为妖半夜啼。
以怀君属秋夜为出句，续写绝句,散步咏凉天。山空松子落，幽人应未眠。
续写律诗，京镇周天险,东南作北关。埭横江曲路，戍入海中山。望越心初切，思秦鬓已斑。空怜上林雁，朝夕待春还。
请仿写杜甫的诗,郑公瑚琏器，华岳金天晶。昔在童子日，已闻老成名。嶷然大贤后，复见秀骨清。开口取将相，小心事友生。阅书百纸尽，落笔四座惊。历识匪父任，嫉邪常力争。汉议尚整肃，胡骑忽纵横。飞传自河陇，逢人问公卿。不知万乘出，雪涕风悲鸣。受词剑阁道，谒帝萧关城。寂寞云台仗，飘飖沙塞旌。江山少使者，笳鼓凝皇情。壮士血相视，忠臣气不平。密论贞观体，挥发岐阳征。感激动四极，联翩收二京。西郊牛酒再，原庙丹青明。匡汲俄宠辱，卫霍竟哀荣。四登会府地，三掌华阳兵。京兆空柳色，尚书无履声。群乌自朝夕，白马休横行。诸葛蜀人爱，文翁儒化成。公来雪山重，公去雪山轻。记室得何逊，韬钤延子荆。四郊失壁垒，虚馆开逢迎。堂上指图画，军中吹玉笙。岂无成都酒，忧国只细倾。时观锦水钓，问俗终相并。意待犬戎灭，人藏红粟盈。以兹报主愿，庶或裨世程。炯炯一心在，沈沈二竖婴。颜回竟短折，贾谊徒忠贞。飞旐出江汉，孤舟轻荆衡。虚无马融笛，怅望龙骧茔。空馀老宾客，身上愧簪缨。
写一首思乡诗,感恩知己古来难，匏竹同声始叩弹。小海歌来羁夏统，大山仙去困刘安。不知饭颗因何瘦，谁念绨袍至此寒。却忆故园风雨里，渔樵相狎有馀欢。
请仿写杜甫的诗,车辚辚，马萧萧，行人弓箭各在腰。耶娘妻子走相送，尘埃不见咸阳桥。牵衣顿足阑道哭，哭声直上干云霄。道傍过者问行人，行人但云点行频。或从十五北防河，便至四十西营田。去时里正与裹头，归来头白还戍边。边亭流血成海水，武皇开边意未已。君不闻汉家山东二百州，千村万落生荆杞。纵有健妇把锄犁，禾生陇亩无东西。况复秦兵耐苦战，被驱不异犬与鸡。长者虽有问，役夫敢申恨。且如今年冬，未休关西卒。县官急索租，租税从何出？信知生男恶，反是生女好。生女犹是嫁比邻，生男埋没随百草。君不见青海头，古来白骨无人收。新鬼烦冤旧鬼哭，天阴雨湿声啾啾。
写一首怀人诗,又随翠辇度居庸，不复当年语笑同。下马还寻旧游处，伤心寒树起秋风。
续写绝句，我家蜀地身离久,忽见胡山似剑门。马上欲垂千里泪，耳边唯欠一声猿。
请仿写白居易的诗,掩泪别乡里，飘飖将远行。茫茫绿野中，春尽孤客情。驱马上丘陇，高低路不平。风吹棠梨花，啼鸟时一声。古墓何代人，不知姓与名。化作路傍土，年年春草生。感彼忽自悟，今我何营营。
以波上荻花非雪花为出句，续写绝句,风吹撩乱满袈裟。如今岁晏无芳草，独对离樽作物华。
续写律诗，节辰才过一阳生,草树依依已有情。杨柳莫嫌凋旧叶，牡丹还喜动新萌。潜惊绿竹微添翠，暗觉幽禽渐变声。从此日长天又暖，时时独入小园行。
续写律诗，去年曾赋此花诗,几听南园烂熟时。嚼破红香堪换骨，摘残丹颗欲烧枝。流莺偷啄心应醉，行客潜窥眼亦痴。闻说张筵就珠树，任从攀折半离披。
写一首悼亡诗,舅甥三十年，生别且潸然。书落雁来处，病深秋到边。故人伤远道，孤子伴归船。定有焚黄日，西山松树阡。
请仿写白居易的诗,每看阙下丹青树，不忘天边锦绣林。西掖垣中今日眼，南宾楼上去年心。花含春意无分别，物感人情有浅深。最忆东坡红烂熳，野桃山杏水林檎。
请仿写白居易的诗,看题锦绣报琼瑰，俱是人天第一才。好遣文星守躔次，亦须防有客星来。
请仿写李白的诗,落日欲没岘山西，倒著接䍦花下迷。襄阳小儿齐拍手，拦街争唱白铜鞮。傍人借问笑何事，笑杀山公醉似泥。鸬鹚杓，鹦鹉杯，百年三万六千日，一日须倾三百杯。遥看汉水鸭头绿，恰似蒲萄初酦醅。此江若变作春酒，垒曲便筑糟丘台。千金骏马换少妾，醉坐雕鞍歌落梅。车傍侧挂一壶酒，凤笙龙管行相催。咸阳市上叹黄犬，何如月下倾金罍。君不见晋朝羊公一片石，龟龙剥落生莓苔。泪亦不能为之堕，心亦不能为之哀。谁能忧彼身后事，金凫银鸭葬死灰。清风朗月不用一钱买，玉山自倒非人推。舒州杓，力士铛，李白与尔同死生。襄王云雨今安在，江水东流猿夜声。
以欲驻如今未老形为出句，续写绝句,万重山上九芝清。君今若问采芝路，踏水踏云攀杳冥。
续写绝句，旌旗入境犬无声,戮尽鲸鲵汉水清。从此世人开耳目，始知名将出书生。
写一首哀伤诗,客舍无人静掩扉，小窗灯火独相依。一年残腊今宵尽，千里故乡何日归。鬓发半随春雪白，交游浑似晓星稀。乱离不得中州信，肠断云间雁北飞。
以莫把阿胶向此倾为出句，续写律诗,此中天意固难明。解通银汉应须曲，才出昆崙便不清。高祖誓功衣带小，仙人占斗客槎轻。三千年后知谁在，何必劳君报太平。
续写律诗，徒步随计吏,辛勤鬓易凋。归期无定日，乡思羡回潮。冒雨投前驿，侵星过断桥。何堪穆陵路，霜叶更潇潇。
请仿写白居易的诗,老诲心不乱，庄戒形太劳。生命既能保，死籍亦可逃。嘉肴与旨酒，信是腐肠膏。艳声与丽色，真为伐性刀。补养在积功，如裘集众毛。将欲致千里，可得差一毫。颜回何为者，箪瓢才自给。肥醲不到口，年不登三十。张苍何为者，染爱浩无际。妾媵填后房，竟寿百馀岁。苍寿有何德，回夭有何辜。谁谓具圣体，不如肥瓠躯。遂使世俗心，多疑仙道书。寄问卢先生，此理当何如。
创作一首哀伤诗,相别未旬日，相思如一年。怜君旧知己，寄我新诗篇。旅馆孤灯夜，炎窗六月天。遥知读书罢，风雨对愁眠。
以高阁晴轩对一峰为出句，续写律诗,毗陵书客此相逢。晚收红叶题诗遍，秋待黄花酿酒浓。山馆日斜喧鸟雀，石潭波动戏鱼龙。上方有路应知处，疏磬寒蝉树几重。
创作一首咏物诗，律诗,醉倚雕阑倒玉壶，贪看锦树色敷腴。根株海外何年至，风韵花中绝代无。西子浣纱低照影，文君酤酒正当垆。少陵才调难摹写，浪把燕脂污画图。
请仿写杜甫的诗,路出双林外，亭窥万井中。江城孤照日，山谷远含风。兵革身将老，关河信不通。犹残数行泪，忍对百花丛。
续写绝句，正是闽中越鸟声,几回留听暗沾缨。伤心激念君深浅，共有离乡万里情。
续写律诗，时人若要学长生,先是枢机昼夜行。恍惚中间专志气，虚无里面固元精。龙交虎战三周毕，兔走乌飞九转成。炼出一炉神圣药，五云归去路分明。
以哀伤为主题，写一首律诗,碧溪潋潋流残阳，晴沙两两眠鸳鸯。柳花无赖苦多暇，蛱蝶有情长自忙。千里宦游成底事，每年风景是他乡。高歌一曲垂鞭去，尽日无人识楚狂。
以怀人为主题，写一首诗,山中长夏苦淫雨，暂尔出门还不能。九天驭日力已竭，两地看云愁倍增。怜君畏途久作客，笑我净舍常依僧。相思倚柱发清啸，旁人不解谷空应。
写一首思乡诗，律诗,冠带趋朝沐宠光，曾将声教化夷王。扶桑东际非吾土，彭蠡西流是故乡。白首还家江上骑，青山独对雪边房。悬知陆贾风流在，不羡裴家绿野堂。
请仿写孟浩然的诗,共喜年华好，来游水石间。烟容开远树，春色满幽山。壶酒朋情洽，琴歌野兴闲。莫愁归路暝，招月伴人还。
以悼亡为主题，写一首诗,生死茫茫总别离，鱼书才到讣音随。凋零耆旧今方尽，谈话风流转合思。嬴博祗将魂气接，枌榆先与首丘期。大招何事偏称宋，唐景由来怅所师。
创作一首哀伤诗，律诗,旅食思乡味，砧声起客愁。夜凉风动竹，人静月当楼。浮世百年梦，他乡几度秋。店翁新酒熟，一醉更何求。
续写律诗，袅袅柳杨枝,当轩杂佩垂。交阴总共密，分条各自宜。因依似永久，揽结更伤离。爱此阳春色，秋风莫遽吹。
创作一首山水诗，律诗,倚杖趋危磴，扪萝上翠微。水穿山腹出，云拥石门归。日落松杉瘦，年荒鹿豕肥。郢南天一角，零落雁孤飞。
以哀伤为主题，写一首律诗,南中逢此夕，酒罢转凄其。不寐憎衾枕，多愁历岁时。帷灯摇夜色，邻树引朝曦。已觉乡心切，春风莫漫吹。
续写律诗，彩仗映花鞯,春庭散曙烟。毬飞皆应手，马骏不须鞭。仙乐飘云外，祥风近日边。筹多不虚发，制胜在机先。
以怨恨为主题，写一首律诗,别去惟余两鬓皤，离怀可奈故人何。不堪万里飘零甚，况值中年感慨多。夜雨几时同把酒，朔风今日尚横戈。千秋独羡鸱夷子，一舸偏能访苎萝。
创作一首思乡诗,湖头秋水映楼台，湖上荷花几度开。西塞风烟游子返，北山猿鹤故人来。閒谈旧事心先醉，坐惜流光晚又催。清兴满怀消未得，欲呼渔父共馀杯。
写一首思乡诗，律诗,孤客龙江上，乡心一夜生。疏星渔舍火，寒雨戍楼更。野旷秋衾冷，窗虚水气明。不眠时起舞，无意听鸡鸣。
以怀人为主题，写一首律诗,苍狗翻新态，青松荫故枝。华山联榻夕，楚水挂帆时。风雨图中画，轮蹄袖里诗。廿年泥印爪，长此住相思。
创作一首怀人诗，律诗,女蚕初浴燕归时，乞得身閒校未迟。花径蓬门春晼晚，纸窗竹屋雨凄其。病馀每倚过眉杖，老去犹题漫兴诗。似此风流相忆否，一缄粗报故人知。
以思乡为主题，写一首诗,楚客柴桑处士风，他乡共醉菊园中。小儿已舁蓝舆待，莫惜千觞劝醉翁。
创作一首思乡诗，律诗,报秋梧叶卷窗前，岁月他乡不计年。冰簟寒生新雨后，玉砧声急晚凉天。蝉嘶疏柳轻烟外，雁度西风落照边。几度望归归未得，还将归信卜金钱。
续写绝句，休公为我设兰汤,方便教人学洗肠。自觉尘缨顿潇洒，南行不复问沧浪。
以思乡#山水为主题，写一首律诗,白屋青山间夕阳，江山如此忽思乡。遥疑泰岳孤云下，却顾沧溟北斗傍。落絮残花春寂寂，疏钟横笛夜茫茫。登临何用谈兵甲，郡国萧条亦感伤。
续写律诗，一岁重阳至,羁游在异乡。登高思旧友，满目是穷荒。草际飞云片，天涯落雁行。故山篱畔菊，今日为谁黄。
以肱被当年仅禦寒为出句，续写绝句,青楼惯染血猩纨。牙床舒卷鹓鸾共，正值窗棂月一团。
写一首战争诗，律诗,朦胧推毂委耑征，无限伤心叹我明。大老高谋惟避地，将军妙策祇行成。轻弓短箭来胡马，弃甲投戈走汉兵。谁使至尊虚拊髀，坐令谈笑失周京。
请仿写李白的诗,美人赠此盘龙之宝镜，烛我金缕之罗衣。时将红袖拂明月，为惜普照之馀晖。影中金鹊飞不灭，台下青鸾思独绝。藁砧一别若箭弦，去有日，来无年。狂风吹却妾心断，玉箸并堕菱花前。
写一首孤独诗，绝句,怀古心期孰与论，客边程课自朝昏。梅花溪上春光好，一味新功励子孙。
以怀人为主题，写一首诗,水流东到海，到海是归期。惟有思君意，悠悠无尽时。
以昨宵魂梦到仙津为出句，续写律诗,得见蓬山不死人。云叶许裁成野服，玉浆教吃润愁身。红楼近月宜寒水，绿杏摇风占古春。次第引看行未遍，浮光牵入世间尘。
写一首山水诗，律诗,闻说林间寺，攀萝一径斜。有僧眠雪月，无客赏风花。丈室虚名在，方袍岁事赊。空王无系著，破屋便传家。
以兰杜晓香薄为出句，续写律诗,汀洲夕露繁。并闻燕塞雁，独立楚人村。雾散孤城上，滩回曙枕喧。不堪逢贾傅，还欲吊湘沅。
以边云四顾浓为出句，续写律诗,饥马嗅枯丛。万里八九月，一身西北风。偷营天正黑，战地雪多红。昨夜东归梦，桃花煖色中。
以闺怨为主题，写一首绝句,极浦蘋花白，空壕兰萼红。伤心城上燕，飞入馆娃宫。
以怀人为主题，写一首律诗,寒气萧萧瘦骨惊，自知分得四愁平。秋堂病起莓苔色，池阁梦回芦苇声。幽滴冷痕连树影，暗驱浮气入诗情。衡门独掩还无语，一日相思万缕并。
续写绝句，不辞鶗鴂妒年芳,但惜流尘暗烛房。昨夜西池凉露满，桂花吹断月中香。
以哀伤为主题，写一首诗,刁斗夜偏惊，关山月正晴。那堪元塞影，遥共故园明。泠浸剸犀剑，光翻翼虎营。愁闻笳吹起，并是断肠声。
创作一首思乡诗，律诗,万里非吾土，三年失我常。只愁鸢跕跕，敢作鹤昂昂。白竹连闽越，黄云入夜郎。何时返栖息，谁为问桃娘。
请仿写白居易的诗,古剑寒黯黯，铸来几千秋。白光纳日月，紫气排斗牛。有客借一观，爱之不敢求。湛然玉匣中，秋水澄不流。至宝有本性，精刚无与俦。可使寸寸折，不能绕指柔。愿快直士心，将断佞臣头。不愿报小怨，夜半刺私雠。劝君慎所用，无作神兵羞。
以恐惧为主题，写一首律诗,一派江涛白，惊生塞上魂。乍疑惊瘦影，再读见啼痕。旧橐青衫尽，空庭老树存。相思频得句，好寄莫辞烦。
以怨恨为主题，写一首律诗,六七鸳鸯戏一溪，愁人二十四桥西。半天书断三秋雁，万里心悬五夜鸡。蚕作百千丝已尽，乌生八九子初齐。丈人何处听鸣瑟，尺寸长垂双玉啼。
续写绝句，九日浔阳县,门门有菊花。白衣今送酒，若个是陶家？
续写律诗，蟆子微于蚋,朝繁夜则无。毫端生羽翼，针喙噆肌肤。暗毒应难免，羸形日渐枯。将身远相就，不敢恨非辜。
创作一首失意诗,层楼落日倚蹉跎，明府高轩载酒过。槛外秋阴开大陆，帘前树色散漳河。关门紫气临燕满，风雨青山入晋多。我醉欲裁王粲赋，故园戎马近如何。
请仿写白居易的诗,细篷青篾织鱼鳞，小眼红窗衬曲尘。阔狭才容从事座，高低恰称使君身。舞筵须拣腰轻女，仙棹难胜骨重人。不似镜湖廉使出，高樯大艑闹惊春。
以山水为主题，写一首律诗,一从隽轨得追攀，日日江皋倒载还。贪向诸公论友义，未容老子忆家山。酒边鲸吸仍畴昔，笔底羊肠出险艰。莫便樽前话分袂，此心不与石俱顽。
